OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
89,30,27.9,5,I,5,I5, , , ,CA,1,13,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,3,1,Signage Ready,27.90347149,0,53799.9366299019
90,29,2.87,5,I,5,I5, , , ,CA,1,13,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,3,1,Signage Ready,2.86710746,0,5526.42560143279
91,28,0.81,1,S,1,S1, , ,PACIFIC COAST HWY,CA,4,1,1,1,Signage Ready,1,1,Signage Ready,0,0, ,0,0, ,1,2,Signage Pending,0.80610481,0,1560.76673781468
92,27,0.09,1,S,1,S1, , , ,CA,4,1,1,1,Signage Ready,0,0, ,0,0, ,0,0, ,1,2,Signage Pending,0.08673135,0,168.296196756611
93,90,87.67,10,I,10,I10, , ,I-10,AZ,1,25,5,2,Signage Pending,2,2,Signage Pending,2,2,Signage Pending,5,2,Signage Pending,0,0, ,87.67446304,0,167236.096587268
94,85,177.69,8,I,8,I8, , ,I-8,AZ,1,25,5,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,5,2,Signage Pending,177.69341617,0,341739.261942523
95,83,53.62,8,I,8,I8, , , ,CA,1,15,1,2,Signage Pending,5,2,Signage Pending,1,2,Signage Pending,0,0, ,1,2,Signage Pending,53.61636681,0,103033.671686428
96,76,59.33,8,I,8,I8, , , ,CA,1,15,1,2,Signage Pending,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,59.32897065,0,113914.700999184
97,32,31.33,5,I,5,I5, , , ,CA,1,13,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,3,1,Signage Ready,31.33093179,0,60017.1289769178
98,75,57.28,15,I,15,I15, , , ,CA,1,15,5,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,57.28029333,0,109941.761489651
99,33,19.14,5,I,5,I5, , , ,CA,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,1,2,Signage Pending,19.14110127,0,36602.8733153461
100,69,5.57,8,I,8,I8, , ,MISSION VALLEY FRWY,CA,1,15,1,1,Signage Ready,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,5.57406758,0,10713.4305095214
101,31,1.9,8,I,8,I8, , , ,CA,1,15,1,1,Signage Ready,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,1.89956013,0,3652.14767924129
102,66,8.29,905,S,905,S905, , ,905,CA,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,8.29339114,0,15901.2044277449
103,67,0.17,905,S,905,S905, , ,905,CA,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,0.17440089,0,332.433419800254
104,68,0.17,905,S,905,S905, , ,905,CA,4,2,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,0.17384762,0,331.457430989251
105,70,6.54,8,I,8,I8, , , ,CA,1,15,1,1,Signage Ready,5,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,6.53701067,0,12568.1928626858
